Year,Argentina - ARG,Australia - AUS,Austria - AUT,Belgium - BEL,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,C̫te d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Netherlands - NLD,Norway - NOR,New Zealand - NZL,Pakistan - PAK,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,Sweden - SWE,Syrian Arab Republic - SYR,Chad - TCD,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,8634.22,39808.36,21058.06,27712.75,1860.68,4558.54,4486.4,7376.07,28038.18,1590.3,41685.65,44675.73,17648.76,2207.09,4787.66,3395.75,7854.82,6004.62,15138.34,18946.08,17909.7,21812.14,29450.78,14273.43,62675.53,14992.43,3138.17,15797.88,1355.29,20004.26,25737.87,10912.43,28785.59,12691.5,12464.17,7444.51,16205.08,4600.82,2907.18,17164.84,14916.98,31747.83,24178.7,18133.37,15668.38,14541.65,10809.85,3987.2,4585.36,9462.86,43559.24,5800.01,3306.51,27992.18,2326.2,3214.93,2111.93,16464.29,2281.8,8142.18,14976.49,4490.14,5206.55,31908.28,29150.42,33653.21,4232.51,9086.53,6419.86,12552.63,6636.89,2793.06,2196.62,11938.49,9363.0,27565.8,8509.34,3578.93,2756.18,35120.81,6412.48,13714.24,8098.14,2704.26,2313.96,19900.42,49637.38,26099.23,15985.38,5649.74,5437.27
1961,8802.0,40867.61,22094.8,28995.07,1761.14,4474.54,4571.16,8205.97,29110.54,1707.88,43303.97,46371.43,16797.28,1939.83,4882.71,3461.31,6511.95,5503.34,15703.52,18054.2,19917.97,22469.31,30865.94,13419.06,54476.05,15378.36,3418.34,17362.08,1385.54,21590.53,27014.72,11698.73,29185.7,12097.79,14127.2,7658.36,16339.52,4983.07,2978.97,18039.26,15676.39,32649.2,25957.84,19526.49,16356.44,16524.19,11827.55,3853.35,4726.73,9152.14,42996.13,8283.12,3395.48,28011.79,2279.86,3174.36,2110.76,17854.41,2290.46,8653.62,14536.97,4706.28,5329.32,32176.29,30385.98,34978.51,4322.13,9565.83,6221.59,13228.72,6886.34,3070.25,2101.16,11681.58,10580.92,29105.44,8812.48,3691.83,2857.04,39877.45,6555.57,13817.04,8518.16,2646.24,2416.69,19963.45,50873.12,26221.19,16555.47,5681.21,5601.54
1962,8852.03,42092.8,22825.86,30097.57,1891.13,4687.49,4678.47,8621.57,30089.43,1831.1,44957.78,46825.1,20674.42,2137.5,4975.83,3448.85,7816.61,6963.99,16035.46,18674.78,23416.1,23230.4,31859.39,14169.42,31601.63,15646.81,3536.25,18932.85,1408.4,22123.09,28875.34,12987.51,29350.48,12084.96,14033.35,7737.9,17151.61,4789.29,3074.59,18316.82,16749.03,33372.17,26880.38,20684.97,16542.76,16112.36,12796.69,4049.99,4590.88,9567.44,42052.52,8182.61,3490.78,28310.32,2234.01,4463.64,2253.9,18864.75,2288.71,9017.68,16071.97,5106.24,5481.62,32937.47,30783.35,35177.46,4508.35,10235.89,6424.36,14201.77,6730.19,3360.66,2321.83,11485.69,11932.54,30100.42,11267.42,4167.1,2941.07,39116.59,6562.9,14722.11,8833.25,2861.13,2431.93,19988.61,53142.26,27393.72,17272.56,5403.36,5419.65
1963,8438.36,43831.8,23932.27,31060.26,1840.12,4923.36,4918.68,8997.84,29539.33,1907.81,46316.13,48237.25,21119.4,2391.63,5448.11,3633.12,7326.02,7567.36,16097.54,19223.52,23384.88,23731.09,31987.37,13166.93,36296.72,15621.93,3714.06,20605.02,1414.31,22263.05,30480.45,15518.21,30452.58,12716.3,16068.89,8056.74,18550.99,4288.08,3252.48,19058.07,16785.89,36681.11,28660.54,22001.0,17599.97,16488.25,13738.44,4038.44,4935.18,9043.02,42632.19,9224.72,3428.04,30087.24,2153.67,776.05,2256.38,19130.85,2278.96,9372.52,16612.15,5445.48,5530.32,32713.83,31708.2,36657.71,4713.44,10628.52,6546.62,15070.44,6911.98,3630.35,2040.93,11341.43,13181.13,31518.2,9597.74,3698.45,3063.9,41685.76,7130.66,15911.29,9370.17,3022.07,2441.56,19411.46,54740.24,28626.02,18607.09,5536.16,5405.73
1964,8748.63,44413.26,25117.56,32722.32,1917.46,4837.82,5152.93,9174.84,29275.03,2023.58,47911.0,50317.73,21488.28,2649.2,6101.13,3729.58,6523.93,7902.11,17008.27,19652.47,19826.22,25467.31,33900.83,13051.4,37685.79,16509.1,4147.55,21555.95,1467.09,22979.61,32159.41,17149.03,31910.37,13827.48,17455.69,8176.92,19581.55,4040.97,3457.6,19542.92,17785.49,38383.62,30026.63,22698.67,18253.5,18155.8,15088.6,4295.98,5284.04,9400.89,45322.54,10308.93,3423.29,33210.46,1707.13,3379.66,2307.29,21490.99,2226.67,9946.28,18218.54,5284.73,5290.0,35795.98,33562.65,37226.15,4964.69,11140.55,6354.01,15713.27,6967.12,3851.26,1794.0,11309.96,13145.3,33328.88,11774.99,3670.22,3238.49,43703.66,7234.3,16225.69,10439.44,3427.76,2597.44,19983.55,56738.3,30918.39,19602.29,6161.69,5129.21
1965,9707.79,43685.85,26087.29,33749.33,1910.37,4723.95,5408.97,9516.76,30490.41,1886.64,48825.86,51847.22,20415.44,2878.73,5604.95,3901.21,7298.21,7681.36,16600.01,21022.15,25186.65,26653.06,34746.16,11727.17,40501.66,16688.64,4232.31,22604.87,1534.99,24126.76,33566.21,18985.0,32420.67,13492.49,19482.66,8277.0,21536.8,4715.2,3372.79,19863.88,19661.0,40150.21,29020.07,23921.96,18561.0,19537.1,15771.39,4408.01,5278.01,9137.39,45639.57,9990.05,3324.56,33989.37,1824.24,7471.92,2290.12,19948.95,2525.47,10363.24,18358.94,5391.24,5683.91,37012.67,35111.48,38390.92,5326.26,11662.81,6812.68,16858.87,7215.53,4225.16,1867.95,11155.03,13774.89,34172.95,11513.33,3767.12,3525.98,40499.88,7427.99,16454.56,11800.21,3390.5,2545.83,19793.69,59018.67,31052.18,20435.6,7250.88,5502.37
1966,9800.09,45077.81,27635.04,34545.32,1927.32,4715.87,5757.97,9732.06,32073.27,2036.58,50360.7,53288.51,22475.23,2876.1,6026.59,4035.12,7615.41,6971.95,16928.69,21480.95,26082.18,27457.1,35067.43,11595.71,35702.73,16792.79,4168.36,24085.77,1551.47,24821.89,35114.77,17421.27,32919.42,13294.34,21201.09,8535.2,22150.92,3872.06,3338.88,20251.07,20339.28,41896.15,31176.35,25684.02,18593.02,19598.78,17038.58,4720.59,5843.57,9700.59,46158.35,10357.55,3423.67,34986.05,1789.08,8461.5,2270.31,20184.12,2847.17,10752.52,18746.59,5223.48,5594.32,37378.67,36213.42,39430.14,5754.55,12321.84,6673.61,17363.24,7051.99,4445.46,1977.92,11479.32,15190.47,34723.75,10112.56,3542.21,4026.38,43186.23,7609.74,18741.13,12412.54,3556.01,2611.82,20410.84,60960.94,30458.26,21173.77,7379.36,5237.56
1967,10009.71,45699.03,28956.83,36022.99,2116.76,4499.47,6137.95,10296.99,35203.69,2378.34,50903.49,54787.6,23388.76,2831.36,6074.77,3641.09,6791.36,6942.68,16985.7,21721.61,28711.76,27789.89,36960.07,11510.73,39572.62,17659.82,4419.6,25113.97,1537.37,26047.11,36766.9,18867.89,34180.9,11970.47,22548.72,8646.97,22128.73,4076.08,3562.62,21579.64,23844.23,40642.89,30666.73,27199.47,18478.2,19477.14,18446.97,4775.12,5950.58,9600.95,48566.56,10031.55,3518.4,35779.64,1817.97,9139.97,2486.74,21608.75,2909.99,10781.38,18126.27,5215.69,5002.07,39533.14,38258.97,36564.24,5739.67,12707.15,6503.62,18799.82,7414.21,4937.34,2060.1,11113.28,16927.52,36446.0,11150.48,3361.34,4040.5,44273.43,7521.03,19224.94,13378.66,3667.61,2484.67,19642.25,61053.34,30728.95,22482.78,8497.85,5154.81
1968,10177.64,47991.07,30613.21,37597.94,2168.33,4589.46,5353.47,11077.61,36323.25,2588.53,53560.78,56465.12,23567.7,2632.14,6614.68,3744.67,7128.0,7659.89,17471.85,22307.31,29384.37,29309.99,38774.19,10848.46,43845.87,18081.29,4741.77,26667.13,1569.28,27824.2,38445.25,19083.9,35793.88,11914.06,24336.13,9084.28,22668.69,4174.98,3687.76,23177.7,24976.91,37105.15,31380.17,28980.66,18477.43,17780.33,20431.49,4627.27,6328.09,10237.16,51336.37,9220.29,3735.38,37657.56,1931.94,10248.96,2555.21,17454.35,2922.6,11010.86,18144.49,5203.43,4951.46,41672.0,39655.98,36495.65,5910.79,12448.26,6956.33,21486.3,7447.46,5277.53,2163.17,11048.79,18291.41,37331.08,11404.33,3283.4,4233.9,47919.04,8039.07,20511.6,14232.86,3773.65,2530.6,19812.58,62685.62,33386.83,22946.35,8897.89,4637.85
1969,11038.61,50255.61,32204.72,39246.09,2210.79,4732.01,5467.92,10973.02,41871.3,2391.13,54642.8,58707.23,24824.24,2758.0,6941.26,3951.63,7735.18,8259.02,18034.22,22765.32,33086.79,31205.97,40475.24,11297.27,47520.45,18156.53,4997.42,28878.35,1627.99,30159.63,40570.63,20226.41,36472.82,12290.01,27182.7,9390.7,24590.59,4227.7,4042.76,24240.37,26539.45,38638.9,35048.97,30970.92,19154.8,17366.43,22747.76,4805.79,7029.31,10735.45,57690.34,10965.18,3801.62,38076.9,1944.04,10698.71,2652.55,17553.55,3059.77,11135.37,18806.3,4709.5,5831.83,42552.95,40872.62,40148.43,6245.67,12813.7,7497.45,22272.75,7641.66,5638.98,2329.54,9705.44,20761.26,38381.21,13313.25,3292.18,4574.11,50328.44,8266.28,21458.35,15045.5,3812.32,2684.18,21002.26,63176.34,34448.31,24379.62,8453.37,5681.13
1970,11223.56,50321.34,34170.64,41502.6,2123.74,4980.91,5276.79,12172.42,46251.3,2637.39,56261.14,61710.04,24777.54,2963.46,7364.55,4031.64,7778.74,9098.2,18787.89,23864.86,33844.82,32546.02,40457.17,12498.29,53836.54,19069.88,5554.85,29752.19,1588.95,31797.26,42465.49,23427.51,37581.65,13073.77,29732.82,9727.14,26164.58,4453.74,4075.74,24912.33,29755.72,39971.54,38655.82,34986.38,21877.59,15302.83,24838.17,4349.68,7370.88,10895.67,56697.15,10173.91,3946.37,39316.57,2025.07,11790.3,2526.1,21155.05,3110.17,11803.67,19699.99,4862.6,7475.98,44495.46,32592.29,38303.03,6650.33,12977.81,7904.64,23180.09,8038.39,5999.59,2456.52,10300.13,23084.99,40205.25,13132.09,3538.13,6031.76,49499.53,10640.23,22114.32,16456.23,3959.53,3223.03,22368.88,62941.73,37936.24,25375.41,7195.06,6762.66
1971,11450.04,51222.81,35614.43,42856.14,1952.73,4973.64,5481.62,12907.44,47583.94,3258.9,57990.69,63331.15,27042.33,3121.46,7559.0,4010.66,7555.3,9767.15,20135.6,24068.16,36262.35,33595.85,41674.56,13026.39,50072.72,19505.89,5597.22,30883.55,1611.76,32570.6,44867.99,24043.73,38587.93,12857.32,31919.9,9738.41,27570.18,4674.58,4119.8,25408.09,30673.56,45521.6,41600.61,35838.09,22734.51,14623.97,26115.79,4536.95,8403.67,10525.58,53105.75,10334.79,4013.55,38961.79,2070.46,12566.61,2598.6,20601.78,3404.26,13967.5,20567.81,4890.95,8250.6,46504.95,34847.82,39110.66,6758.01,13200.51,7621.99,24211.36,8252.77,6770.08,2379.94,9861.43,24525.0,40823.86,13976.74,3543.49,6171.58,46417.7,11247.15,22365.61,18065.23,4026.69,3159.23,22427.55,65024.77,35610.85,25359.46,6818.14,7132.01
1972,11537.72,52200.51,37525.02,45600.25,2394.41,4796.45,5460.38,13709.56,48194.38,3837.61,59072.61,64547.29,26055.82,2948.01,7589.34,4135.93,7129.53,9446.95,21426.26,24673.13,37181.41,35197.0,42561.95,15137.16,56571.88,18934.83,5880.05,32991.81,1639.7,34491.34,46997.02,23513.47,39738.05,10689.28,34938.36,10021.61,29423.45,5139.23,4132.83,27745.06,35277.57,43819.09,43797.58,37730.2,25068.07,15179.56,28325.79,4881.72,9080.29,10596.23,55747.75,10335.33,3830.43,40071.32,1789.97,13771.96,2607.67,20345.44,3644.33,14598.29,20797.89,4614.92,8715.12,48608.64,38127.07,40790.09,6424.39,13009.7,8062.79,25939.79,8557.51,7497.22,2435.55,9745.12,24768.24,41702.24,16932.36,3145.16,6271.4,53444.18,12450.56,23738.59,19703.39,4121.25,3446.88,21757.27,66756.22,35638.4,25969.13,7364.45,7731.53
1973,12075.78,53156.61,38935.29,48364.89,2228.61,4117.65,5775.78,13873.48,46542.09,4538.84,60261.14,65773.24,25080.85,3141.9,7704.07,4221.9,7691.14,10659.98,22999.82,25350.72,36002.65,36911.29,43673.61,16052.62,60840.6,20204.23,5576.44,34545.82,1632.07,36216.9,49732.89,26897.94,41838.22,11002.72,37026.47,10184.14,32158.79,5479.64,4249.42,28945.56,34853.41,47665.51,45430.55,40478.4,25019.13,14276.66,29918.49,4885.8,10512.47,11029.65,61129.06,10812.77,3619.03,41198.66,1816.44,14970.8,2608.8,21022.97,3451.73,15962.19,21447.45,3859.41,10183.93,51880.31,39026.36,43148.38,6563.47,13589.42,7954.06,28621.18,8755.39,8263.44,2479.28,9000.79,27039.04,43326.45,14974.69,2917.99,6649.98,52942.04,12317.17,24441.35,20904.4,4302.39,3518.01,22251.3,68660.99,37985.74,29145.49,7220.88,7815.39
1974,12203.25,50380.22,39741.9,49853.61,2379.03,4127.94,6053.71,14727.78,41853.25,4918.13,58849.74,66620.02,24565.51,3105.49,7987.74,4184.69,7951.28,12540.81,24059.05,25240.13,33355.89,37807.1,43356.76,15418.05,73207.34,23223.21,5686.45,35975.93,1615.77,37422.36,51611.34,34757.41,40355.14,11769.3,34544.57,10221.66,31743.78,5800.22,4101.63,29262.42,39552.54,49512.16,47405.32,42735.19,23168.9,14399.14,29848.31,5188.88,11993.69,11419.06,63713.51,11054.03,3535.56,41568.9,1778.18,16694.34,2639.75,20567.72,3549.69,17135.95,22784.74,4169.12,11089.46,54677.73,41784.33,43204.94,6711.98,14199.16,8496.17,27154.5,9025.13,9192.84,2474.49,9474.41,30052.49,43444.56,18133.97,3303.39,6738.01,51803.9,13324.98,27126.75,21499.15,4320.25,3287.83,22648.16,66797.5,44653.4,30663.04,6976.73,8291.65
1975,11969.18,51607.35,40131.97,50147.61,2319.7,3874.02,6256.22,14963.59,49560.33,5225.43,59074.43,62691.84,21655.78,3152.93,8008.48,4259.45,6311.95,11616.5,24158.79,24790.64,27178.57,38400.15,43174.67,15590.74,73680.61,24472.33,6006.32,36798.81,1625.49,36549.08,51768.41,37875.14,39720.32,10025.12,36480.44,10096.19,30766.76,6051.89,4366.74,30922.02,37394.65,48871.17,48193.69,42225.15,22210.66,13124.66,31328.52,5091.88,13510.45,10942.44,54525.29,11085.0,3459.63,41353.06,1916.97,20402.28,2576.26,20377.06,3596.65,16099.15,23076.39,3707.22,10801.85,55458.47,45967.41,41333.56,6878.42,14554.18,8826.41,25087.96,9173.8,10054.2,2420.68,9151.24,31722.97,43468.51,20866.96,3735.77,6895.82,53392.75,15274.09,28791.45,21427.78,4515.44,3449.49,23475.02,67321.35,42060.59,30513.39,7525.7,7824.54
1976,11977.4,53138.96,40928.24,53684.31,2318.55,4257.24,6390.49,15818.6,36674.19,5756.99,61707.77,63148.9,22218.39,2947.08,8624.32,3988.35,5591.12,11848.34,24951.19,25655.75,34138.07,40394.09,44776.59,17179.44,70828.42,25404.86,6007.21,38962.12,1641.09,36842.97,53783.88,44988.04,41934.59,9000.78,38411.17,10232.64,33823.51,6439.43,4192.54,32567.63,38462.2,47269.37,47397.57,46000.43,20876.63,14894.28,33146.87,5003.67,13873.14,10008.13,58064.09,10719.03,3409.85,41926.69,2098.31,24559.94,2606.94,26221.42,3547.66,17378.8,23226.86,3909.96,10907.45,57896.61,49968.84,42122.24,7043.1,14277.87,9594.27,26464.91,9563.04,11483.19,2724.53,9383.67,34155.2,43659.72,17638.24,3459.23,7313.03,55968.11,15526.49,31537.73,24114.61,4753.75,3562.54,23660.15,69009.22,45191.91,30357.78,7710.51,7593.68
1977,12450.1,53636.97,42177.65,54683.95,2540.83,4431.45,6591.77,14750.18,37373.02,6362.99,62484.43,64128.13,23209.66,3081.73,8872.16,4361.73,5719.69,12030.89,24987.2,27184.35,38704.37,41783.65,46013.18,16454.49,80101.05,25596.72,6202.18,41026.62,1616.5,37751.05,55514.57,42510.35,43876.06,9606.2,38884.56,10702.62,35918.68,6890.4,4045.64,34617.01,44702.66,53096.97,45899.12,48236.76,19553.89,14754.4,34981.03,5424.18,14688.77,9574.73,58439.64,10990.31,3378.77,41841.5,2147.07,26864.72,2460.98,26523.31,3495.14,18206.8,22946.11,4268.67,11711.47,58817.04,50180.7,40387.64,7048.05,13782.88,9857.44,27520.81,10397.3,12382.03,2741.57,9056.51,35560.66,42644.76,12572.12,3221.97,7903.98,56000.17,15842.67,30041.11,24864.29,4458.04,3636.15,23314.83,69888.99,46250.78,29514.9,6624.4,6615.7
